NumTrees,MaxDepth,train_RMSE,test_RMSE
50,10,1.879033689320326,1.9493761386161772
50,20,1.0166637086220975,2.0774882231448895
50,40,0.8989127387805002,2.1099567623176254
50,None,0.8953514125850611,2.1139046445356087
100,10,1.877915211005783,1.949004427262678
100,20,1.0037432532830421,2.0695894545896936
100,40,0.8833068777608462,2.1014173571533132
100,None,0.8791697151038499,2.1063164910576115
200,10,1.8763690681753313,1.9488262886790686
200,20,0.9987164619285371,2.071125041722342
200,40,0.8770247710867691,2.102675836613838
200,None,0.8730547537930443,2.106455798684177
300,10,1.8767141248535197,1.9481848087154752
300,20,0.9982458548686493,2.0696871158931036
300,40,0.8765403041491028,2.10146241121824
300,None,0.8724065134576265,2.105229482749974
