NumTrees,MaxDepth,train_RMSE,test_RMSE
50,10,0.6216202691351381,0.9260284172246829
50,20,0.41727383923131667,0.9497445126972432
50,40,0.4170254660563692,0.9511979423082184
50,None,0.4170254660563692,0.9511979423082184
100,10,0.6201722288108349,0.9237808388823316
100,20,0.4143733073163707,0.9457282198405719
100,40,0.413648176555948,0.9451869002053865
100,None,0.4136481765559481,0.9451869002053865
200,10,0.6208722073169917,0.9151274864651704
200,20,0.4123517656020855,0.9385696420029908
200,40,0.4116991636358074,0.9394094734660174
200,None,0.4116991636358074,0.9394094734660174
300,10,0.6204721055141476,0.9148851876071393
300,20,0.4114557155453153,0.9389873333934868
300,40,0.4107739082020444,0.9399487244979481
300,None,0.4107739082020444,0.9399487244979481
